"name","category","since","cid","name","title"
"ACTIVE Network","Executive","May-2014","21169","Mark Miller","CFO"
"ACTIVE Network","Executive","Feb-2014","21169","Andrea Facini","Chief Product Officer"
"ACTIVE Network","Executive","2014","21169","Greg Ingino","CIO and Head of Customer Support"
"ACTIVE Network","Executive","Feb-2014","21169","Evan Davies","CTO"
"ACTIVE Network","Executive","Feb-2014","21169","Sejal Pietrzak","Chief Admin Officer"
"ACTIVE Network","Executive","Nov-2013","21169","Darko Dejanovic","CEO"
"ACTIVE Network","Executive","Apr-2013","21169","Jon Belmonte","Interim Chief Executive Officer"
"ACTIVE Network","Executive","Nov-2011","21169","Evan Davies","SVP Global Architecture, Data and Security"
"ACTIVE Network","Executive","Dec-2006","21169","Jeff Lambert","Chief Legal Officer & Head of M&A"
"ACTIVE Network","","","21169","Thomas Clancy","Board Member"
"ACTIVE Network","","","21169","James Woodman","Board Member"
"ACTIVE Network","","","21169","Elliot Katzman","Board Member"
