"name","investors","cid","series","amount","date","partners_count"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Flagship Ventures","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Intel Capital","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Red Hat","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","SAP Ventures","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Split Rock Partners","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Volition Capital","18991","Growth F","20M","Sep-2014","8"
"Black Duck Software, Inc.","Split Rock Partners","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Fidelity Ventures","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Flagship Ventures","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Focus Ventures","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Intel Capital","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Red Hat","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","SAP Ventures","18991","Growth E","12M","Oct-2011","9"
"Black Duck Software, Inc.","Gold Hill Capital","18991","Venture Debt","4.5M","Feb-2009","2"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","Fidelity Ventures","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","Flagship Ventures","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","Focus Ventures","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","Intel Capital","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","SAP Ventures","18991","Growth D","5M","Feb-2009","7"
"Black Duck Software, Inc.","Flagship Ventures","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","Fidelity Ventures","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","Focus Ventures","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","Intel Capital","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","SAP Ventures","18991","Growth C","12M","Feb-2007","7"
"Black Duck Software, Inc.","Fidelity Ventures","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","Flagship Ventures","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","Intel Capital","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","Red Hat","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","SAP Ventures","18991","Early B","12M","Jun-2005","7"
"Black Duck Software, Inc.","Flagship Ventures","18991","Early A","5M","Jul-2004","5"
"Black Duck Software, Inc.","General Catalyst Partners","18991","Early A","5M","Jul-2004","5"
"Black Duck Software, Inc.","Red Hat","18991","Early A","5M","Jul-2004","5"
