name,investors,cid,series,amount,date,partners_count
Brightcove,Morgan Stanley Technology Banking,18629,IPO,55M,Feb-12,3
Brightcove,Pacific Crest Securities,18629,IPO,55M,Feb-12,3
Brightcove,RBC Capital Markets,18629,IPO,55M,Feb-12,3
Brightcove,AOL Ventures,18629,Growth D,12M,Apr-10,10
Brightcove,Accel Partners,18629,Growth D,12M,Apr-10,10
Brightcove,AllianceBernstein,18629,Growth D,12M,Apr-10,10
Brightcove,Brookside Capital,18629,Growth D,12M,Apr-10,10
Brightcove,General Catalyst Partners,18629,Growth D,12M,Apr-10,10
Brightcove,Hearst Ventures,18629,Growth D,12M,Apr-10,10
Brightcove,IAC,18629,Growth D,12M,Apr-10,10
Brightcove,Maverick Capital,18629,Growth D,12M,Apr-10,10
Brightcove,The Hearst Corporation,18629,Growth D,12M,Apr-10,10
Brightcove,TransCosmos,18629,Growth D,12M,Apr-10,10
Brightcove,Cyber Communications,18629,Growth D,4.9M,May-08,4
Brightcove,Dentsu,18629,Growth D,4.9M,May-08,4
Brightcove,J-Stream,18629,Growth D,4.9M,May-08,4
Brightcove,TransCosmos,18629,Growth D,4.9M,May-08,4
Brightcove,Accel Partners,18629,Growth C,59.5M,Jan-07,6
Brightcove,Allen & Company,18629,Growth C,59.5M,Jan-07,6
Brightcove,Maverick Capital,18629,Growth C,59.5M,Jan-07,6
Brightcove,The Hearst Corporation,18629,Growth C,59.5M,Jan-07,6
Brightcove,The New York Times Company,18629,Growth C,59.5M,Jan-07,6
Brightcove,Time Warner Investments,18629,Growth C,59.5M,Jan-07,6
Brightcove,AOL Ventures,18629,Early B,16.2M,Nov-05,6
Brightcove,Accel Partners,18629,Early B,16.2M,Nov-05,6
Brightcove,Allen & Company,18629,Early B,16.2M,Nov-05,6
Brightcove,General Catalyst Partners,18629,Early B,16.2M,Nov-05,6
Brightcove,Hearst Ventures,18629,Early B,16.2M,Nov-05,6
Brightcove,IAC,18629,Early B,16.2M,Nov-05,6
Brightcove,Accel Partners,18629,Seed A,5.5M,Mar-05,6
Brightcove,Cyber Communications,18629,Seed A,5.5M,Mar-05,6
Brightcove,Dentsu,18629,Seed A,5.5M,Mar-05,6
Brightcove,General Catalyst Partners,18629,Seed A,5.5M,Mar-05,6
Brightcove,J-Stream,18629,Seed A,5.5M,Mar-05,6
Brightcove,TransCosmos,18629,Seed A,5.5M,Mar-05,6
