"name","category","since","cid","name","title"
"Vidyo","Executive","Oct-2012","1256","Joan Vandermate","VP, Product Marketing"
"Vidyo","Board Member","2006","1256","Jon Bayless","General Partner of Sevin Rosen Funds"
"Vidyo","","","1256","Nick Superina","Board Member"
"Vidyo","","","1256","Marty Hollander","Senior Vice President, Market Development"
"Vidyo","","","1256","Greg Thener","Vice President, Sales"
"Vidyo","Board Member","","1256","Joshua Ruch","Director, Member of Finance Committee and Member of Compensation Committee of Verenium Corporation"
"Vidyo","Board Member","","1256","Doug Carlisle","General Partner of "
"Vidyo","Board Member","","1256","Avery More","Venture Partner of "
"Vidyo","Executive","","1256","Ajay Sravanapudi","Chief Technology Officer"
"Vidyo","Executive","","1256","Anne de Kerckhove","Managing Director, EMEA"
"Vidyo","Executive","","1256","Kevin Haley","Chief Scientist"
"Vidyo","Executive","","1256","Scott Macleod","Chief Financial Officer"
"Vidyo","Executive","","1256","Ryan Jamboretz","Chief Development Officer"
"Vidyo","Executive","","1256","Tom McMahon","President"
