"name","investors","cid","series","amount","date","partners_count"
"Vidyo","Juniper Networks","1256","Growth E","20M","Jul-2014","5"
"Vidyo","Menlo Ventures","1256","Growth E","20M","Jul-2014","5"
"Vidyo","QuestMark Partners","1256","Growth E","20M","Jul-2014","5"
"Vidyo","Rho Ventures","1256","Growth E","20M","Jul-2014","5"
"Vidyo","Sevin Rosen Funds","1256","Growth E","20M","Jul-2014","5"
"Vidyo","Triangle Peak Partners","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","Menlo Ventures","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","QuestMark Partners","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","Rho Ventures","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","Saints Capital","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","Sevin Rosen Funds","1256","Growth D","17.1M","Apr-2013","7"
"Vidyo","Four Rivers Group","1256","Growth","2M","May-2012","7"
"Vidyo","Juniper Networks","1256","Growth","2M","May-2012","7"
"Vidyo","Menlo Ventures","1256","Growth","2M","May-2012","7"
"Vidyo","QuestMark Partners","1256","Growth","2M","May-2012","7"
"Vidyo","Rho Capital Partners","1256","Growth","2M","May-2012","7"
"Vidyo","Star Ventures","1256","Growth","2M","May-2012","7"
"Vidyo","QuestMark Partners","1256","Growth D","22.5M","Sep-2011","6"
"Vidyo","Juniper Networks","1256","Growth D","22.5M","Sep-2011","6"
"Vidyo","Menlo Ventures","1256","Growth D","22.5M","Sep-2011","6"
"Vidyo","Rho Ventures","1256","Growth D","22.5M","Sep-2011","6"
"Vidyo","Sevin Rosen Funds","1256","Growth D","22.5M","Sep-2011","6"
"Vidyo","Four Rivers Group","1256","Growth C","25M","Mar-2010","6"
"Vidyo","Menlo Ventures","1256","Growth C","25M","Mar-2010","6"
"Vidyo","Rho Capital Partners","1256","Growth C","25M","Mar-2010","6"
"Vidyo","Sevin Rosen Funds","1256","Growth C","25M","Mar-2010","6"
"Vidyo","Star Ventures","1256","Growth C","25M","Mar-2010","6"
"Vidyo","Menlo Ventures","1256","Early B","15M","Mar-2009","5"
"Vidyo","Rho Capital Partners","1256","Early B","15M","Mar-2009","5"
"Vidyo","Sevin Rosen Funds","1256","Early B","15M","Mar-2009","5"
"Vidyo","Star Ventures","1256","Early B","15M","Mar-2009","5"
"Vidyo","Star Ventures","1256","Early B","3M","Aug-2008","4"
"Vidyo","Rho Capital Partners","1256","Early B","3M","Aug-2008","4"
"Vidyo","Sevin Rosen Funds","1256","Early B","3M","Aug-2008","4"
"Vidyo","Rho Capital Partners","1256","Early B","12M","Oct-2007","4"
"Vidyo","Sevin Rosen Funds","1256","Early B","12M","Oct-2007","4"
"Vidyo","Star Ventures","1256","Early B","12M","Oct-2007","4"
